epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7601,1.83901,3.25493,2.00891,0.24914,0.03257,0.0097,0.00411,2.91557,5.33297,3.52796,0.0033288,0.0033288,0.0700408
2,61.6043,1.75327,2.99235,1.93633,0.34401,0.19121,0.10434,0.05141,2.06888,4.12694,2.25988,0.00666141,0.00666141,0.04004
3,89.6706,1.65659,2.84637,1.86506,0.28379,0.2895,0.18427,0.0987,1.79519,3.07776,2.05774,0.00999113,0.00999113,0.0100364
4,117.443,1.58254,2.70926,1.79825,0.28599,0.31441,0.19513,0.10944,1.81199,3.26908,2.05746,0.00999023,0.00999023,0.00999023
5,145.339,1.54784,2.61607,1.76846,0.28475,0.37474,0.24906,0.13428,1.75712,2.70237,1.93914,0.00998264,0.00998264,0.00998264
6,172.99,1.49689,2.49948,1.71295,0.29007,0.34408,0.23593,0.13003,1.71709,2.6891,1.91361,0.00997288,0.00997288,0.00997288
7,201.122,1.47827,2.4627,1.70237,0.36474,0.35883,0.30843,0.17446,1.64387,2.46512,1.83919,0.00996097,0.00996097,0.00996097
8,228.918,1.46803,2.42195,1.69195,0.36685,0.3931,0.3281,0.18705,1.61312,2.45298,1.81425,0.0099469,0.0099469,0.0099469
9,256.678,1.42779,2.34303,1.65816,0.30041,0.39197,0.26738,0.15906,1.65024,2.72931,1.87779,0.00993068,0.00993068,0.00993068
10,284.066,1.40338,2.30757,1.64223,0.4525,0.41492,0.37532,0.2207,1.56729,2.28094,1.78809,0.00991232,0.00991232,0.00991232
11,311.717,1.40114,2.26717,1.63873,0.42569,0.38407,0.3268,0.19299,1.59966,2.41546,1.83688,0.00989183,0.00989183,0.00989183
12,339.524,1.38232,2.23356,1.61939,0.38682,0.40763,0.34796,0.201,1.56874,2.24529,1.76233,0.00986922,0.00986922,0.00986922
13,367.662,1.37395,2.19641,1.61103,0.42849,0.41222,0.37325,0.21815,1.55563,2.35347,1.77273,0.00984449,0.00984449,0.00984449
14,395.471,1.35759,2.16126,1.59617,0.44227,0.45291,0.40338,0.24473,1.517,2.09183,1.70411,0.00981765,0.00981765,0.00981765
15,423.158,1.32251,2.09369,1.56375,0.45713,0.4504,0.40792,0.25106,1.52621,2.13674,1.73518,0.00978873,0.00978873,0.00978873
16,450.727,1.33799,2.11004,1.58602,0.44093,0.43733,0.39099,0.22505,1.52662,2.17733,1.73106,0.00975773,0.00975773,0.00975773
17,478.584,1.32758,2.0741,1.56331,0.48536,0.43923,0.41688,0.25459,1.55932,2.12391,1.74842,0.00972466,0.00972466,0.00972466
18,506.19,1.31606,2.06397,1.56161,0.4983,0.46427,0.45667,0.27952,1.47884,2.02831,1.67052,0.00968955,0.00968955,0.00968955
19,533.873,1.2929,2.02285,1.54613,0.48309,0.4567,0.44423,0.27607,1.47923,2.00099,1.67797,0.00965239,0.00965239,0.00965239
20,561.628,1.30351,2.01123,1.54575,0.52213,0.4734,0.46701,0.28696,1.50941,1.94244,1.70025,0.00961322,0.00961322,0.00961322
21,589.471,1.29194,1.97791,1.54083,0.48033,0.49331,0.47047,0.29588,1.48378,1.92622,1.69672,0.00957205,0.00957205,0.00957205
22,617.306,1.27917,1.95768,1.52928,0.53665,0.48638,0.49702,0.31764,1.4563,1.8831,1.657,0.00952889,0.00952889,0.00952889
23,645.364,1.28688,1.95472,1.5359,0.50403,0.50602,0.4964,0.31545,1.43499,1.8701,1.63632,0.00948377,0.00948377,0.00948377
24,673.362,1.26166,1.93183,1.51467,0.5243,0.49927,0.48749,0.31459,1.44938,1.86574,1.63559,0.00943671,0.00943671,0.00943671
