epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1791.55,1.18083,1.47735,1.50513,0.62962,0.57451,0.61052,0.38904,1.36884,1.50266,1.58005,0.00414222,0.00414222,0.00414222
43,1833.87,1.15878,1.45892,1.49525,0.65209,0.61924,0.64194,0.41613,1.36624,1.39555,1.55345,0.00410262,0.00410262,0.00410262
44,1876.39,1.18076,1.45716,1.50441,0.62861,0.59183,0.60371,0.38419,1.36129,1.47922,1.57153,0.00406234,0.00406234,0.00406234
45,1918.79,1.15502,1.43022,1.48716,0.67269,0.58342,0.6416,0.41534,1.36052,1.40357,1.57174,0.00402138,0.00402138,0.00402138
46,1961.17,1.16891,1.44153,1.48897,0.65825,0.57204,0.6303,0.40542,1.35165,1.42154,1.55965,0.00397977,0.00397977,0.00397977
47,2003.33,1.16605,1.42799,1.49213,0.65546,0.60936,0.65583,0.42167,1.32596,1.3746,1.54315,0.00393752,0.00393752,0.00393752
48,2045.89,1.15969,1.42448,1.4924,0.66592,0.5943,0.65393,0.42757,1.31852,1.39778,1.54127,0.00389464,0.00389464,0.00389464
49,2088.48,1.13802,1.3903,1.46782,0.66822,0.60428,0.66187,0.4333,1.30311,1.3879,1.52744,0.00385117,0.00385117,0.00385117
50,2131.02,1.13795,1.39424,1.47032,0.64831,0.58799,0.63918,0.41521,1.32375,1.39454,1.5459,0.00380712,0.00380712,0.00380712
51,2173.4,1.1391,1.37875,1.46371,0.6508,0.62349,0.66254,0.43503,1.32095,1.3517,1.53004,0.0037625,0.0037625,0.0037625
52,2215.92,1.13185,1.36872,1.4641,0.68535,0.60784,0.66266,0.43225,1.29073,1.37332,1.50819,0.00371734,0.00371734,0.00371734
53,2258.44,1.12578,1.35634,1.46106,0.65906,0.61183,0.65112,0.42731,1.31506,1.35892,1.52851,0.00367166,0.00367166,0.00367166
54,2300.76,1.13033,1.36138,1.45471,0.63491,0.60125,0.63836,0.42054,1.30019,1.39482,1.52568,0.00362547,0.00362547,0.00362547
55,2343.08,1.12815,1.3531,1.46068,0.69801,0.58995,0.66905,0.44292,1.31402,1.33432,1.52588,0.0035788,0.0035788,0.0035788
56,2385.68,1.11149,1.33521,1.4467,0.69361,0.61088,0.66876,0.44022,1.27452,1.31591,1.50599,0.00353167,0.00353167,0.00353167
57,2428.01,1.11315,1.33176,1.44728,0.68348,0.60547,0.66319,0.44198,1.29046,1.32297,1.50378,0.0034841,0.0034841,0.0034841
58,2470.41,1.1062,1.32529,1.44008,0.69465,0.62608,0.67736,0.45089,1.28693,1.31471,1.5078,0.00343611,0.00343611,0.00343611
59,2513.14,1.09937,1.31668,1.44531,0.70119,0.63229,0.68662,0.45708,1.28093,1.25215,1.50461,0.00338772,0.00338772,0.00338772
60,2555.71,1.10056,1.31222,1.43946,0.7267,0.62006,0.69388,0.45731,1.29584,1.25759,1.51062,0.00333894,0.00333894,0.00333894
61,2598.18,1.09206,1.29229,1.4261,0.71423,0.61965,0.68762,0.45988,1.28089,1.27003,1.49552,0.00328982,0.00328982,0.00328982
62,2640.7,1.0834,1.29106,1.42897,0.71611,0.61934,0.69019,0.46441,1.26391,1.26656,1.49241,0.00324035,0.00324035,0.00324035
63,2683.21,1.0823,1.27199,1.41989,0.72555,0.62185,0.70014,0.47225,1.25038,1.25416,1.47543,0.00319058,0.00319058,0.00319058
64,2725.64,1.06586,1.25787,1.41548,0.72815,0.62839,0.70309,0.46975,1.25822,1.24506,1.48215,0.00314051,0.00314051,0.00314051
65,2768.06,1.07383,1.25708,1.41056,0.70182,0.64854,0.69812,0.47383,1.25535,1.24291,1.47342,0.00309017,0.00309017,0.00309017
66,2810.46,1.07153,1.25055,1.41827,0.67763,0.66055,0.69863,0.46886,1.25566,1.21728,1.47999,0.00303958,0.00303958,0.00303958
67,2852.68,1.06653,1.2377,1.41098,0.69707,0.65174,0.69701,0.4721,1.24418,1.22376,1.47839,0.00298877,0.00298877,0.00298877
68,2894.95,1.05601,1.21807,1.4025,0.72457,0.64317,0.71165,0.48231,1.2462,1.19547,1.47749,0.00293775,0.00293775,0.00293775
69,2937.48,1.06089,1.23994,1.40754,0.68928,0.64547,0.69667,0.47305,1.24801,1.24205,1.48105,0.00288656,0.00288656,0.00288656
70,2979.74,1.04022,1.20116,1.38547,0.71193,0.65648,0.71669,0.488,1.24078,1.19917,1.47554,0.0028352,0.0028352,0.0028352
71,3022.83,1.03353,1.18804,1.38621,0.72851,0.65623,0.71524,0.4854,1.25262,1.19463,1.47525,0.00278371,0.00278371,0.00278371
72,3065.06,1.03668,1.18972,1.38571,0.73624,0.65125,0.72009,0.48423,1.25858,1.17933,1.48111,0.0027321,0.0027321,0.0027321
73,3107.43,1.04039,1.18284,1.38295,0.73032,0.64366,0.7194,0.49,1.2241,1.18744,1.45972,0.00268041,0.00268041,0.00268041
74,3149.85,1.03369,1.17876,1.38452,0.71796,0.65156,0.71474,0.48401,1.23346,1.19063,1.46008,0.00262864,0.00262864,0.00262864
75,3192.1,1.01912,1.15951,1.37097,0.73853,0.66582,0.72231,0.49575,1.24047,1.18216,1.46979,0.00257683,0.00257683,0.00257683
76,3234.6,1.02725,1.16305,1.3769,0.73094,0.66994,0.72593,0.49202,1.25002,1.1592,1.46984,0.002525,0.002525,0.002525
