epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7755,2.65356,3.93902,2.59081,0.00018,0.00649,1e-05,0,nan,nan,nan,0.00163194,0.00163194,0.0689931
2,24.451,2.58256,3.67067,2.66773,0.00111,0.01826,4e-05,1e-05,3.73481,6874.92,7.47458,0.00329781,0.00329781,0.0373256
3,35.73,2.48841,3.60331,2.55464,0.00047,0.01015,1e-05,0,4.40566,26254.1,67.7573,0.00496043,0.00496043,0.00565487
4,47.0727,2.41373,3.47511,2.48552,0.00714,0.11909,0.00161,0.0003,3.28007,188.997,4.28007,0.00498902,0.00498902,0.00498902
5,58.3368,2.3471,3.44527,2.44924,0.08074,0.07352,0.01216,0.00384,2.70662,7.45268,2.89452,0.00498048,0.00498048,0.00498048
6,69.342,2.2961,3.39581,2.40208,0.02469,0.06545,0.01061,0.00273,2.77386,6.81349,3.00038,0.00496953,0.00496953,0.00496953
7,80.3431,2.26121,3.3381,2.38217,0.04019,0.07682,0.01891,0.00597,2.74017,5.35709,2.81828,0.00495616,0.00495616,0.00495616
8,91.4172,2.2539,3.31415,2.33314,0.08201,0.141,0.0334,0.00843,2.71305,4.09122,2.88916,0.00494039,0.00494039,0.00494039
9,102.328,2.25503,3.28857,2.35725,0.12669,0.13884,0.04608,0.01397,2.49929,3.61157,2.62694,0.00492224,0.00492224,0.00492224
10,113.248,2.23219,3.22886,2.30716,0.68817,0.01832,0.00913,0.00224,2.81612,6.22906,3.02434,0.00490173,0.00490173,0.00490173
11,124.344,2.19959,3.19317,2.2932,0.10188,0.11544,0.0386,0.01187,2.57002,4.62339,2.54071,0.00487886,0.00487886,0.00487886
12,135.225,2.19519,3.19599,2.28042,0.11243,0.13676,0.04682,0.01474,2.36985,3.72111,2.43769,0.00485368,0.00485368,0.00485368
13,146.146,2.20298,3.18811,2.26417,0.43694,0.07168,0.04031,0.01068,2.59868,3.89457,2.66748,0.0048262,0.0048262,0.0048262
14,157.043,2.18893,3.18033,2.25997,0.07472,0.14807,0.03854,0.0133,2.44157,4.12217,2.57724,0.00479644,0.00479644,0.00479644
15,167.925,2.15206,3.08821,2.25446,0.10666,0.15244,0.05699,0.01861,2.39693,3.79529,2.43231,0.00476445,0.00476445,0.00476445
16,178.834,2.13068,3.11005,2.22256,0.10923,0.09419,0.05279,0.01861,2.4059,3.40314,2.42307,0.00473024,0.00473024,0.00473024
17,189.768,2.10499,3.05825,2.21546,0.12537,0.1434,0.07237,0.02411,2.32017,3.42925,2.39514,0.00469386,0.00469386,0.00469386
18,200.678,2.1035,3.0325,2.18883,0.08692,0.109,0.04348,0.01684,2.41498,3.55435,2.46008,0.00465534,0.00465534,0.00465534
19,211.721,2.07944,3.01972,2.18417,0.15613,0.15268,0.06942,0.02521,2.38668,3.41983,2.41472,0.00461471,0.00461471,0.00461471
20,222.658,2.07033,2.99341,2.18366,0.17263,0.14044,0.08502,0.02974,2.30816,3.48329,2.36987,0.00457202,0.00457202,0.00457202
21,233.596,2.03771,2.96869,2.15604,0.13026,0.11887,0.07648,0.02585,2.29538,3.57814,2.40018,0.00452732,0.00452732,0.00452732
22,244.4,2.0517,3.00315,2.16805,0.12809,0.1493,0.05684,0.02026,2.33136,3.44742,2.42292,0.00448063,0.00448063,0.00448063
23,255.229,2.05456,2.96111,2.13613,0.17489,0.17475,0.09874,0.03367,2.26284,3.15426,2.32866,0.00443202,0.00443202,0.00443202
24,266.148,2.02533,2.9166,2.15562,0.19442,0.16604,0.09323,0.03263,2.25402,3.1515,2.30264,0.00438152,0.00438152,0.00438152
25,277.007,2.01652,2.94586,2.13897,0.12744,0.15395,0.06849,0.02605,2.27936,3.55521,2.36408,0.0043292,0.0043292,0.0043292
26,287.834,2.02896,2.87845,2.12071,0.17083,0.19736,0.09882,0.03319,2.27804,3.2629,2.31034,0.00427509,0.00427509,0.00427509
27,298.62,2.00503,2.87719,2.11482,0.2097,0.13596,0.09889,0.03957,2.27291,3.16971,2.36155,0.00421925,0.00421925,0.00421925
28,309.516,2.01789,2.8579,2.11327,0.20232,0.16583,0.10348,0.04018,2.27369,3.08665,2.29507,0.00416175,0.00416175,0.00416175
29,320.452,2.00878,2.86942,2.10945,0.22003,0.18744,0.10979,0.04498,2.26768,3.38353,2.30498,0.00410262,0.00410262,0.00410262
30,331.528,1.96554,2.82524,2.07286,0.16263,0.19246,0.09776,0.03913,2.25979,3.07882,2.28007,0.00404194,0.00404194,0.00404194
31,342.344,1.98713,2.84789,2.09984,0.15392,0.18825,0.09967,0.03794,2.25172,3.29378,2.26429,0.00397977,0.00397977,0.00397977
32,353.16,1.93724,2.79812,2.06856,0.2048,0.21643,0.11331,0.04147,2.20632,3.11137,2.27524,0.00391616,0.00391616,0.00391616
33,363.94,1.93114,2.83541,2.08144,0.16549,0.20492,0.10885,0.0452,2.22423,3.20223,2.30473,0.00385117,0.00385117,0.00385117
34,374.835,1.91532,2.74162,2.03902,0.19915,0.17202,0.10932,0.04071,2.24295,3.10786,2.2865,0.00378488,0.00378488,0.00378488
35,385.629,1.95642,2.77417,2.05593,0.26637,0.17991,0.12873,0.0497,2.20398,2.98244,2.24122,0.00371734,0.00371734,0.00371734
36,396.555,1.91295,2.74365,2.03989,0.16275,0.23749,0.10869,0.03961,2.21608,3.27917,2.29183,0.00364863,0.00364863,0.00364863
37,407.366,1.91162,2.71493,2.04188,0.23384,0.19102,0.14583,0.05789,2.26516,3.0159,2.32258,0.0035788,0.0035788,0.0035788
38,418.261,1.91364,2.71103,2.04652,0.19391,0.2208,0.12769,0.04848,2.29425,3.01961,2.33555,0.00350794,0.00350794,0.00350794
39,429.054,1.90092,2.64073,2.01575,0.22315,0.19626,0.11479,0.04569,2.21871,3.04319,2.23382,0.00343611,0.00343611,0.00343611
40,439.87,1.90244,2.62087,2.02114,0.23939,0.20453,0.14257,0.05679,2.20145,2.95656,2.27139,0.00336338,0.00336338,0.00336338
41,450.835,1.88246,2.63775,2.01468,0.21729,0.21525,0.15838,0.0612,2.24274,2.91715,2.31264,0.00328982,0.00328982,0.00328982
42,461.752,1.87326,2.61772,2.0033,0.22341,0.22843,0.13573,0.05537,2.22354,3.02389,2.26227,0.0032155,0.0032155,0.0032155
43,472.568,1.88383,2.63872,2.02502,0.17878,0.20819,0.10535,0.04073,2.25676,3.15469,2.30492,0.00314051,0.00314051,0.00314051
44,483.395,1.87106,2.60534,1.99722,0.18905,0.21818,0.12182,0.05472,2.12755,2.97862,2.24099,0.0030649,0.0030649,0.0030649
45,494.216,1.84765,2.57649,1.98575,0.20419,0.21272,0.13901,0.0561,2.15911,3.03678,2.19779,0.00298877,0.00298877,0.00298877
46,504.996,1.84006,2.56237,1.97963,0.2584,0.24247,0.17063,0.06714,2.18917,2.94567,2.24641,0.00291218,0.00291218,0.00291218
47,515.846,1.84091,2.52349,1.96395,0.24075,0.24831,0.16208,0.06843,2.21694,2.86672,2.25496,0.0028352,0.0028352,0.0028352
48,526.745,1.80588,2.47414,1.94967,0.19761,0.23641,0.13976,0.05523,2.1918,2.90629,2.25079,0.00275792,0.00275792,0.00275792
49,537.557,1.81311,2.51111,1.95025,0.19219,0.26681,0.14845,0.05879,2.22133,3.00488,2.26085,0.00268041,0.00268041,0.00268041
50,548.316,1.81319,2.50862,1.95215,0.23472,0.24295,0.15724,0.06912,2.19137,2.81403,2.27813,0.00260274,0.00260274,0.00260274
51,559.337,1.80427,2.47705,1.9543,0.26067,0.25088,0.15913,0.06633,2.16836,2.86931,2.19864,0.002525,0.002525,0.002525
52,570.095,1.76277,2.4065,1.9047,0.27835,0.20833,0.14676,0.06081,2.23399,2.96657,2.24962,0.00244726,0.00244726,0.00244726
53,580.899,1.78114,2.42283,1.91069,0.19028,0.26387,0.14663,0.06358,2.18156,2.93163,2.23569,0.00236959,0.00236959,0.00236959
54,591.691,1.77571,2.41717,1.90378,0.271,0.23224,0.16843,0.07022,2.12371,2.84656,2.19936,0.00229208,0.00229208,0.00229208
